234,835,2.5,892334481
387,789,3.5,886482928
486,1143,3.5,879874726
617,238,3.5,883789249
59,547,3.5,888203482
474,463,5.0,887927457
254,588,2.5,886473701
680,273,2.5,877075214
677,1011,3.0,889399431
774,673,2.5,888556545
160,474,4.5,876857977
233,614,4.0,877661437
926,300,3.5,888351623
398,82,5.5,875721348
448,1022,5.5,891888244
828,640,2.5,891037948
96,445,4.0,884403095
870,802,3.5,879714763
248,64,5.5,884534735
253,198,5.0,891628392
338,301,4.0,879437655
349,546,3.0,879466200
474,190,3.0,887923972
344,258,3.5,884814359
833,175,4.5,875124535
279,1437,2.5,892173418
829,855,3.5,881698934
394,195,4.5,880886919
721,330,2.5,877136967
506,443,4.0,874874760
151,929,3.0,879543457
554,423,4.0,876550182
6,197,5.0,883601203
342,149,5.0,874984788
843,210,3.5,879444670
848,196,5.0,887044238
653,702,3.5,880151918
371,174,4.5,877487751
295,4,4.5,879518568
59,597,2.5,888203610
385,128,5.5,879442235
881,186,2.5,876538221
279,168,5.5,875296435
203,93,4.0,880434940
500,83,4.0,888538350
184,411,3.0,889908207
723,988,1.5,880499254
7,677,3.5,891354499
387,102,3.5,886483669
854,303,2.5,882811810
234,694,2.5,892079040
464,332,4.5,878354761
139,475,5.0,879538415
458,317,5.0,886397155
495,155,2.5,888635455
704,382,4.5,891397571
665,472,3.5,884291242
174,383,1.0,886515171
198,198,4.5,884207654
541,215,3.5,885595771
99,338,3.5,885678539
307,214,5.5,879283091
566,660,4.0,881650172
666,1170,4.0,880568352
804,141,3.5,879445841
694,490,4.0,875727877
392,345,3.5,891037385
833,273,2.5,875035954
733,1338,3.5,879536608
805,1065,5.0,881697792
38,627,5.0,892431586
825,515,3.5,880756076
301,763,3.5,882074665
100,315,5.5,891375557
707,715,3.0,886286954
326,563,3.5,879877470
381,652,5.0,892696252
213,204,5.5,878956130
637,408,5.5,882901355
428,322,4.5,885943782
374,168,1.0,880434231
840,52,2.5,891205320
267,12,5.0,878971659
606,258,3.5,887058788
18,528,3.5,880129489
737,58,4.5,884314970
399,320,3.5,882342537
271,660,5.5,885848971
436,785,2.0,887770731
664,660,3.5,876525718
330,283,5.0,876544432
39,333,4.5,891400214
62,144,2.5,879374785
233,168,4.5,877663302
246,568,3.5,884922451
880,550,4.5,880167880
795,514,4.0,883250472
921,1279,2.0,879380142
889,265,4.5,880180816
495,501,2.5,888634536
456,1218,3.0,881374921
243,215,2.5,879988046
401,582,4.5,891033523
464,194,4.5,878355259
497,62,4.5,879310913
201,1069,2.0,884111312
69,79,4.0,882145524
154,50,5.0,879138657
429,358,3.0,882387053
326,241,2.5,879875778
341,292,4.5,890757659
486,936,3.0,879874629
450,749,4.0,892141807
224,92,0.5,888103812
278,294,4.5,891295230
538,294,2.5,877095702
577,4,3.5,880474635
201,98,3.5,884111312
860,781,2.5,887754411
458,648,4.5,886395899
445,291,2.5,891200233
363,25,3.0,891496337
197,554,3.5,891410170
653,572,1.5,880153522
715,692,3.0,875963836
750,294,3.5,879445961
655,59,4.0,887564613
804,495,3.5,879442792
14,813,1.5,880929564
313,153,3.0,891015268
738,71,3.5,875350352
222,399,3.5,878182686
594,744,3.5,874783298
712,1220,4.5,874729996
102,734,2.0,892993786
585,923,5.5,891282808
843,443,4.0,879443297
293,831,2.5,888905286
432,295,3.5,889416352
823,50,4.5,878438435
887,235,3.5,881378537
269,521,4.0,891448048
458,278,2.0,886395469
1,126,2.0,875071713
434,111,5.5,886724540
712,243,4.5,874956228
671,504,3.5,883949781
799,191,3.0,879254077
487,426,3.5,884025034
863,319,1.5,889289123
806,403,4.0,882388706
148,1012,4.5,877400154
574,272,4.0,891278860
655,1549,2.5,891585574
454,1269,3.0,881959698
565,381,2.0,891037628
693,735,3.5,875482912
130,271,4.5,879352077
327,652,4.5,887819860
484,315,3.0,883973609
276,282,4.5,883822485
250,179,3.5,883263374
62,216,4.0,879375414
106,8,3.5,881452405
864,1284,3.0,888891900
918,921,3.5,891988029
130,1215,1.5,876251389
292,86,4.0,881105778
935,255,4.5,884472247
421,172,4.5,892241707
181,1008,0.5,878963276
130,407,2.0,876251388
605,121,0.5,879429706
90,45,2.5,891385039
932,520,3.5,891249794
717,975,2.5,884642843
884,382,5.5,876859351
877,582,2.5,882677280
660,946,2.0,891201696
708,255,5.0,877325601
503,659,5.5,880472148
63,1028,2.5,875748198
59,22,4.5,888204260
405,213,2.5,885549309
43,328,4.0,875975061
395,121,3.5,883765731
585,113,3.0,891283681
307,269,4.5,879283333
763,47,3.0,878915692
658,919,2.0,875145841
378,173,4.5,880057088
334,310,3.5,891544049
125,748,3.0,892835778
332,313,5.5,887916125
781,245,2.0,879633862
771,82,2.5,880659686
236,28,3.5,890116539
630,832,2.0,885667528
526,294,3.0,885681982
854,122,2.5,882813287
728,285,4.5,879443446
887,932,2.5,881379009
20,274,4.5,879668248
576,475,1.5,887168978
13,409,3.5,882141872
401,196,5.5,891033497
722,286,4.5,891280046
487,597,4.5,883444674
908,481,3.0,879722754
716,496,5.0,879795467
435,496,3.5,884131243
839,1009,3.5,875752560
293,412,1.5,888905377
45,288,3.0,880996629
222,174,4.5,878181934
686,317,5.5,879546553
276,1141,2.5,874790773
463,116,5.5,877385381
346,127,5.5,874947747
258,310,4.5,885700778
82,81,2.5,878770059
845,900,2.5,885409719
637,596,1.5,882903582
453,410,3.5,877552951
610,283,3.5,888703316
215,517,4.5,891436543
334,428,4.0,891547955
846,1041,4.0,883950791
428,1024,4.0,885943651
540,100,4.5,882156948
62,597,2.5,879373254
656,286,1.0,892318343
551,761,1.0,892785164
793,282,4.0,875104340
87,775,2.0,879876848
614,535,2.5,879464376
864,226,2.5,888889601
394,386,3.0,881058897
184,161,2.5,889909640
158,471,3.5,880132513
488,748,4.0,891293606
486,685,3.0,879875188
934,303,4.5,891188441
730,7,3.5,880310352
42,103,2.5,881106162
483,151,1.5,878952582
916,763,2.5,880843683
497,1030,0.5,879363780
405,1070,1.0,885547123
194,25,2.0,879540807
449,273,4.5,879959003
452,614,2.5,875562198
871,566,3.5,888193337
476,300,5.0,883365561
276,269,4.5,885871420
43,755,2.5,883956075
452,1534,1.5,876298233
303,432,2.5,879468274
541,477,4.0,883865654
49,290,1.5,888069062
707,200,2.0,886286491
42,282,4.5,881105677
128,729,2.0,879968447
661,173,4.0,876014469
559,195,3.5,891034647
752,751,4.0,891208212
363,176,3.5,891495109
828,462,2.5,891036630
193,280,4.0,889124016
658,22,4.5,875147448
851,544,4.5,874728396
887,181,5.0,881378040
533,480,3.5,879190670
567,654,5.0,882425701
279,1493,1.0,888465068
495,559,4.5,888635180
167,238,4.5,892738341
833,93,3.5,875036056
503,79,5.5,879454675
262,588,3.5,879793075
416,417,3.0,886317568
933,166,2.5,874854062
217,1228,2.5,889070050
607,100,3.5,883879316
113,975,5.0,875936424
13,332,2.5,881515457
389,386,2.5,880089302
19,655,3.0,885412723
250,748,1.5,878089033
56,692,3.5,892676970
405,1566,1.5,885546248
483,50,4.5,878953485
18,185,3.0,880129388
429,225,2.5,882387599
234,142,2.0,892334852
642,218,3.5,886130929
822,169,4.0,891037394
535,50,5.0,879618091
523,1,5.0,883701763
605,223,5.0,881015099
682,274,4.0,888521740
915,333,3.5,891031450
663,31,4.0,889493628
389,4,3.5,879991352
711,169,5.5,879992929
629,245,3.5,880116240
222,247,1.0,878714998
339,203,3.5,891032466
881,281,2.5,876536439
326,559,3.0,879877413
429,63,1.5,882387505
268,219,3.0,875744533
532,576,4.5,893118712
878,1092,3.0,880867444
62,528,5.0,879375080
160,59,4.0,876858346
311,43,4.5,884366227
622,1203,3.5,882669645
42,283,3.0,881110483
921,678,5.0,879379447
820,333,5.0,887954878
399,471,3.0,882340719
489,299,2.5,891447522
13,418,2.5,882398763
453,1273,1.5,877561258
660,462,2.0,891199293
267,127,5.0,878970529
675,463,4.5,889489003
130,729,4.5,876252042
194,1058,1.5,879552923
727,92,2.5,883710806
472,358,5.5,892790676
374,977,0.5,883628189
686,234,4.0,879546715
563,181,3.5,880507374
342,716,2.5,875320014
58,172,5.5,884305241
550,892,2.5,883426119
908,603,3.5,879722361
429,1418,2.5,882385267
271,98,5.0,885848559
588,79,3.5,890023722
369,243,3.0,889428228
198,183,5.0,884207654
194,86,2.5,879520991
453,48,3.5,877553761
337,1016,4.5,875184825
707,221,3.5,880059749
456,210,3.0,881374849
923,544,4.0,880387507
719,735,4.5,888454612
450,1115,4.5,882395778
487,572,0.5,884050940
232,1,4.0,880062302
1,83,3.0,875072370
62,655,3.0,879375453
303,1270,0.5,879485770
503,736,4.5,880383174
387,114,5.0,886484336
804,664,3.0,879446090
234,241,2.0,892335042
595,288,3.0,886920602
381,403,2.5,892696045
477,722,5.0,875941763
463,952,1.5,890453075
474,326,3.0,887914822
145,406,3.0,875270692
236,127,4.5,890116032
472,218,3.5,875980120
726,274,4.5,889831222
874,289,4.5,888633197
311,785,2.5,884366010
395,15,3.5,883765928
631,682,1.5,888465247
10,706,3.5,877888677
331,491,3.0,877196383
31,705,5.0,881548110
90,83,5.5,891383687
712,110,5.5,874956956
864,237,4.0,878179514
880,826,3.0,880167551
45,50,4.5,881007272
883,172,4.0,891696824
561,432,5.5,885807776
477,846,4.0,875942042
73,127,5.5,888625200
355,319,5.5,879486529
327,659,4.0,887819021
